Sample,Relative_Hg,Sample_of_growing_season
Hauge-Gb,24.03527525,07/09/2024
Hauge-Gb,25.44754001,07/09/2024
Hauge-Gb,21.00494234,07/09/2024
Hauge-Gb,28.19963537,07/09/2024
Hauge-Gb,27.43161094,07/09/2024
Hauge-Gb,25.97676107,07/09/2024
Hauge-Gb,23.0076762,23/09/2024
Hauge-Gb,22.58258258,23/09/2024
Hauge-Gb,23.20342205,23/09/2024
Hauge-Gb,29.36337625,23/09/2024
Hauge-Gb,30.69473684,23/09/2024
Hauge-Gb,27.26819018,23/09/2024
Hauge-Gb,29.51858913,06/10/2024
Hauge-Gb,27.0970971,06/10/2024
Hauge-Gb,26.70661157,06/10/2024
Hauge-Gb,27.94902193,06/10/2024
Hauge-Gb,27.27467811,06/10/2024
Hauge-Gb,27.93211816,06/10/2024
Hauge-Gb,28.39583333,20/10/2024
Hauge-Gb,27.73584906,20/10/2024
Hauge-Gb,25.447848,20/10/2024
Hauge-Gb,27.799511,20/10/2024
Hauge-Gb,25.30107527,20/10/2024
Hauge-Gb,22.00575816,20/10/2024
Hauge-Gb,30.94230769,12/11/2024
Hauge-Gb,30.72541966,12/11/2024
Hauge-Gb,33.22957198,12/11/2024
Hauge-Gb,42.5748503,12/11/2024
Hauge-Gb,37.1331058,12/11/2024
Hauge-Gb,30.62982769,12/11/2024
Hauge-Gb,34.70927994,21/11/2024
Hauge-Gb,33.12343358,21/11/2024
Hauge-Gb,28.93372825,21/11/2024
Hauge-Gb,38.2122905,21/11/2024
Hauge-Gb,36.60377358,21/11/2024
Hauge-Gb,33.98680124,21/11/2024
Horn-Gb,9.030821918,17/06/2024
Horn-Gb,10.07114987,17/06/2024
Horn-Gb,9.456521739,17/06/2024
Horn-Gb,13.10855811,17/06/2024
Horn-Gb,24.34080171,17/06/2024
Horn-Gb,17.85545024,17/06/2024
Horn-Gb,23.69321219,08/07/2024
Horn-Gb,15.88008709,08/07/2024
Horn-Gb,21.09360519,08/07/2024
Horn-Gb,13.64507959,15/07/2024
Horn-Gb,11.04564315,15/07/2024
Horn-Gb,11.84801685,15/07/2024
Horn-Gb,19.52769535,22/07/2024
Horn-Gb,17.51351351,22/07/2024
Horn-Gb,16.00737856,22/07/2024
Horn-Gb,17.21057884,29/07/2024
Horn-Gb,17.49493722,29/07/2024
Horn-Gb,15.02894955,29/07/2024
Horn-Gb,19.87888199,05/08/2024
Horn-Gb,21.25512715,05/08/2024
Horn-Gb,17.77676121,05/08/2024
Horn-Gb,18.93352293,12/08/2024
Horn-Gb,20.15384615,12/08/2024
Horn-Gb,17.17035961,12/08/2024
Horn-Gb,19.20361991,19/08/2024
Horn-Gb,19.18512658,19/08/2024
Horn-Gb,17.2705093,19/08/2024
Horn-Gb,25.16384888,23/09/2024
Horn-Gb,27.6152586,23/09/2024
Horn-Gb,27.66160262,23/09/2024
Horn-Gb,31.67775314,30/09/2024
Horn-Gb,33.70199693,30/09/2024
Horn-Gb,28.13467169,30/09/2024
Horn-Gb,31.94727105,07/10/2024
Horn-Gb,33.54188211,07/10/2024
Horn-Gb,28.07627405,07/10/2024
Horn-Gb,36.04294479,14/10/2024
Horn-Gb,33.46648301,14/10/2024
Horn-Gb,30.98906108,14/10/2024
Horn-Gb,27.68614515,21/10/2024
Horn-Gb,28.35635359,21/10/2024
Horn-Gb,23.75639238,21/10/2024
Horn-Gb,35.50071874,28/10/2024
Horn-Gb,34.01240458,28/10/2024
Horn-Gb,32.54966887,28/10/2024
Horn-Gb,26.34441088,04/11/2024
Horn-Gb,28.59318996,04/11/2024
Horn-Gb,26.97682119,04/11/2024
Horn-Gb,30.71819646,11/11/2024
Horn-Gb,33.3770387,11/11/2024
Horn-Gb,27.93016672,11/11/2024
Horn-Gb,33.71386575,18/11/2024
Horn-Gb,31.96900983,18/11/2024
Horn-Gb,33.37687075,18/11/2024
