Species,Mean_Relative_Hg,Mean_gs,Place
Davidia involucrata var.,7.16,281.9,TCBG
Salix fragilis,25.26,460.1,TCBG
Corylus avellana,13.32,304.67,TCBG
Alnus glutinosa,4.97,289.39,TCBG
Betula utilis v. jacquemontii,9.62,218.78,TCBG
Crataegus monogyna,21.05,214.67,TCBG
Acacia melanoxylon,46.92,144.83,TCBG
Magnolia grandiflora,60,278.73,TCBG
Ginkgo biloba,12.15,315.43,TCBG
Juglans nigra,13.52,172.27,TCBG
Aesculus indica,17.08,350.23,TCBG
Arbutus unedo,6.96,303.7,TCBG
Quercus robur,12.83,387.8,TCBG
Carpinus betulus,8.58,262.1,TCBG
Castanea sativa,13.15,363.5,TCBG
Sorbus hibernica,8.74,268.97,TCBG
Metasequoia glyptostroboides,28.87,139.8,TCBG
Ostrya carpinifolia,16.68,395.13,TCBG
Wollemia nobilis,41.96,145.37,TCBG
Tilia tomentosa,14.96,210.17,TCBG
Phoenix dactylifera,11.61,164.33,TCBG
Aesculus indica,6.33,218.77,NBG
Acacia melanoxylon,17.37,205.47,NBG
Alnus glutinosa,14.15,64.97,NBG
Arbutus unedo,4.46,193.07,NBG
Betula utilis v. jacquemontii,9.99,265.33,NBG
Carpinus betulus,7.38,232.6,NBG
Castanea sativa,4.41,362.73,NBG
Corylus avellana,7.24,114.03,NBG
Crataegus monogyna,22.86,331.7,NBG
Davidia involucrata var.,11.26,122.87,NBG
Ginkgo biloba,9.82,226.83,NBG
Juglans nigra,3.21,254.83,NBG
Magnolia grandiflora,24.59,239.83,NBG
Metasequoia glyptostroboides,10.62,136.2,NBG
Ostrya carpinifolia,10.7,161.03,NBG
Quercus robur,11.98,205.77,NBG
Salix fragilis,14.39,382.43,NBG
Sorbus hibernica,9.25,249.6,NBG
Tilia tomentosa,12.19,177.63,NBG
Wollemia nobilis,14.61,62.8,NBG
