Relative_Hg,Place,Species
6.527472527,TCBG,Davidia involucrata var. vilmoriniana
7.574132492,TCBG,Davidia involucrata var. vilmoriniana
7.386018237,TCBG,Davidia involucrata var. vilmoriniana
25.19002375,TCBG,Salix fragilis
26.89492326,TCBG,Salix fragilis
23.70417193,TCBG,Salix fragilis
14.60469574,TCBG,Corylus avellana
12.99120235,TCBG,Corylus avellana
12.36027944,TCBG,Corylus avellana
5.276497696,TCBG,Alnus glutinosa
4.89117984,TCBG,Alnus glutinosa
4.752223634,TCBG,Alnus glutinosa
11.04298357,TCBG,Betula utilis v. jacquemontii 
9.296407186,TCBG,Betula utilis v. jacquemontii 
8.507462687,TCBG,Betula utilis v. jacquemontii 
21.45522388,TCBG,Crataegus monogyna
21.72248804,TCBG,Crataegus monogyna
19.96402878,TCBG,Crataegus monogyna
39.01401401,TCBG,Acacia melanoxylon
49.3756311,TCBG,Acacia melanoxylon
52.35899034,TCBG,Acacia melanoxylon
60.0043985,TCBG,Magnolia grandiflora
9.620689655,TCBG,Ginkgo biloba
10.95837705,TCBG,Ginkgo biloba
15.8820922,TCBG,Ginkgo biloba
13.44692005,TCBG,Juglans nigra
14.03669725,TCBG,Juglans nigra
13.08837209,TCBG,Juglans nigra
18.89670611,TCBG,Aesculus indica
16.78952807,TCBG,Aesculus indica
15.55840822,TCBG,Aesculus indica
7.412087912,TCBG,Arbutus unedo
7.844776119,TCBG,Arbutus unedo
5.634892719,TCBG,Arbutus unedo
13.13682837,TCBG,Quercus robur
12.65897436,TCBG,Quercus robur
12.69279715,TCBG,Quercus robur
10.45505618,TCBG,Carpinus betulus
6.877104377,TCBG,Carpinus betulus
8.41434639,TCBG,Carpinus betulus
13.04859644,TCBG,Castanea sativa
13.57334766,TCBG,Castanea sativa
12.83056669,TCBG,Castanea sativa
9.508530685,TCBG,Sorbus hibernica
8.923620549,TCBG,Sorbus hibernica
7.786774629,TCBG,Sorbus hibernica
27.5862069,TCBG,Metasequoia glyptostroboides
27.71689498,TCBG,Metasequoia glyptostroboides
31.31474104,TCBG,Metasequoia glyptostroboides
17.34793187,TCBG,Ostrya carpinifolia
17.06666667,TCBG,Ostrya carpinifolia
15.63206578,TCBG,Ostrya carpinifolia
46.34255129,TCBG,Wollemia nobilis
43.00884956,TCBG,Wollemia nobilis
36.53819201,TCBG,Wollemia nobilis
15.49263219,TCBG,Tilia tomentosa
14.72081218,TCBG,Tilia tomentosa
14.66699925,TCBG,Tilia tomentosa
11.65146423,TCBG,Phoenix dactylifera
11.42375519,TCBG,Phoenix dactylifera
11.74560217,TCBG,Phoenix dactylifera
12.59802454,NBG,Davidia involucrata var. vilmoriniana
11.10481586,NBG,Davidia involucrata var. vilmoriniana
10.09009009,NBG,Davidia involucrata var. vilmoriniana
15.13708514,NBG,Salix fragilis
14.50929529,NBG,Salix fragilis
13.53403141,NBG,Salix fragilis
7.722659224,NBG,Corylus avellana
7.129927903,NBG,Corylus avellana
6.880671118,NBG,Corylus avellana
14.30228811,NBG,Alnus glutinosa
13.95994832,NBG,Alnus glutinosa
14.19295671,NBG,Alnus glutinosa
10.03393939,NBG,Betula utilis v. jacquemontii 
10.40951123,NBG,Betula utilis v. jacquemontii 
9.536163522,NBG,Betula utilis v. jacquemontii 
21.35957066,NBG,Crataegus monogyna
22.32023011,NBG,Crataegus monogyna
24.90804598,NBG,Crataegus monogyna
10.76422764,NBG,Acacia melanoxylon
20.20942408,NBG,Acacia melanoxylon
21.12474438,NBG,Acacia melanoxylon
28.34520042,NBG,Magnolia grandiflora
25.74379611,NBG,Magnolia grandiflora
19.66849985,NBG,Magnolia grandiflora
10.00381971,NBG,Ginkgo biloba
9.893487523,NBG,Ginkgo biloba
9.55779201,NBG,Ginkgo biloba
3.375671715,NBG,Juglans nigra
3.487846241,NBG,Juglans nigra
2.7789563,NBG,Juglans nigra
6.53190453,NBG,Aesculus indica
6.129343629,NBG,Aesculus indica
6.327593112,NBG,Aesculus indica
3.953488372,NBG,Arbutus unedo
4.411134904,NBG,Arbutus unedo
5.017064846,NBG,Arbutus unedo
12.18480493,NBG,Quercus robur
11.64479081,NBG,Quercus robur
12.11128445,NBG,Quercus robur
7.51059322,NBG,Carpinus betulus
7.415349887,NBG,Carpinus betulus
7.220792589,NBG,Carpinus betulus
3.802724438,NBG,Castanea sativa
3.828710645,NBG,Castanea sativa
5.585973547,NBG,Castanea sativa
8.739145537,NBG,Sorbus hibernica
10.95993757,NBG,Sorbus hibernica
8.059971098,NBG,Sorbus hibernica
10.06134969,NBG,Metasequoia glyptostroboides
10.32840722,NBG,Metasequoia glyptostroboides
11.47355164,NBG,Metasequoia glyptostroboides
12.35739232,NBG,Ostrya carpinifolia
10.10204082,NBG,Ostrya carpinifolia
9.65489885,NBG,Ostrya carpinifolia
12.74017467,NBG,Wollemia nobilis
14.95583039,NBG,Wollemia nobilis
16.12244898,NBG,Wollemia nobilis
11.59577505,NBG,Tilia tomentosa
12.66836446,NBG,Tilia tomentosa
12.29599595,NBG,Tilia tomentosa
